EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
30-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Nanyang,Wangying,32.757,112.28,1,0
30-Aug-18,2,Protests,Peaceful protest,Shanghai,Shanghai,Shanghai,31.231,121.475,3,0
31-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Beijing,Xicheng,Beijing-Xicheng,39.912,116.359,1,0
31-Aug-18,3,Strategic developments,Looting/property destruction,Shaanxi,Weinan,Linwei,34.498,109.493,2,0
31-Aug-18,1,Protests,Peaceful protest,Yunnan,Pu'er,Simao,22.787,100.977,2,0
31-Aug-18,1,Protests,Peaceful protest,Guangxi,Hechi,Yizhou,24.485,108.636,1,0
31-Aug-18,1,Violence against civilians,Attack,Henan,Nanyang,Wolong,32.99,112.529,2,0
31-Aug-18,3,Strategic developments,Looting/property destruction,Shaanxi,Xi'an,Huyi,33.998,108.586,1,0
31-Aug-18,3,Strategic developments,Looting/property destruction,Henan,Sanmenxia,Lingbao,34.517,110.894,1,0
31-Aug-18,1,Protests,Peaceful protest,Shaanxi,Xi'an,Weiyang,34.293,108.946,2,0
31-Aug-18,3,Strategic developments,Looting/property destruction,Henan,Shangqiu,Yucheng,34.403,115.841,1,0
31-Aug-18,2,Protests,Peaceful protest,Hebei,Langfang,Bazhou,39.126,116.391,1,0
31-Aug-18,2,Protests,Peaceful protest,Henan,Zhengzhou,Zhongyuan,34.748,113.613,2,0
1-Sep-18,2,Protests,Peaceful protest,Jiangsu,Huai'an,Qingjiangpu,33.506,119.033,1,0
1-Sep-18,1,Strategic developments,Looting/property destruction,Shandong,Qingdao,Nanshu,37.023,120.334,1,0
1-Sep-18,1,Riots,Violent demonstration,Hunan,Hengyang,Leiyang,26.422,112.86,1,0
1-Sep-18,1,Protests,Protest with intervention,Hunan,Hengyang,Leiyang,26.422,112.86,1,0
1-Sep-18,1,Violence against civilians,Abduction/forced disappearance,Shanghai,Chongming,Shanghai-Chongming,31.625,121.563,1,0
1-Sep-18,3,Strategic developments,Looting/property destruction,Henan,Xinxiang,Hongqi,35.303,113.876,2,0
1-Sep-18,1,Protests,Peaceful protest,Liaoning,Shenyang,Shenhe,41.796,123.459,2,0
1-Sep-18,2,Protests,Peaceful protest,Chongqing,Chongqing,Chongqing,29.432,106.912,3,0
1-Sep-18,2,Protests,Peaceful protest,Hubei,Huanggang,Huangzhou,30.434,114.879,2,0
1-Sep-18,2,Protests,Peaceful protest,Shaanxi,Xi'an,Weiyang,34.293,108.946,2,0
1-Sep-18,1,Protests,Peaceful protest,Guangxi,Nanning,Wuming,23.159,108.275,1,0
1-Sep-18,2,Strategic developments,Other,Beijing,Beijing,Beijing,39.906,116.391,3,0
2-Sep-18,2,Protests,Peaceful protest,Guangdong,Shenzhen,Shenzhen-Bao'an,22.687,113.863,1,0
2-Sep-18,1,Strategic developments,Change to group/activity,Guangdong,Guangzhou,Guangzhou-Panyu,22.969,113.386,1,0
2-Sep-18,2,Protests,Peaceful protest,Shaanxi,Weinan,Linwei,34.498,109.493,2,0
2-Sep-18,1,Strategic developments,Change to group/activity,Henan,Nanyang,Zhenping,33.034,112.235,1,0
2-Sep-18,1,Strategic developments,Change to group/activity,Henan,Luohe,Yancheng,33.587,114.007,2,0
2-Sep-18,2,Protests,Peaceful protest,Hubei,Xiangyang,Xiangcheng,32.01,112.134,2,0
2-Sep-18,1,Violence against civilians,Abduction/forced disappearance,Beijing,Fengtai,Beijing-Fengtai,39.857,116.28,1,0
2-Sep-18,1,Violence against civilians,Attack,Henan,Luohe,Yancheng,33.587,114.007,2,0
3-Sep-18,1,Protests,Peaceful protest,Macao,Macao,Macao,22.199,113.544,1,0
